diagprint-axum dependency provenance
mode=async
columns=name|version|source|checksum|features
matchit|0.8.4|registry+https://github.com/rust-lang/crates.io-index|47e1ffaa40ddd1f3ed91f717a33c8c0ee23fff369e3aa8772b9605cc1d22f4c3|default
memchr|2.8.3|registry+https://github.com/rust-lang/crates.io-index|cf8baf1c55e62ffcace7a9f06f4bd9cd3f0c4beb022d3b367256b91b87513d98|alloc,default,std
mime|0.3.17|registry+https://github.com/rust-lang/crates.io-index|6877bb514081ee2a7ff5ef9de3281f14a4dd4bceac4c09388074a6b5df8a139a|
num-traits|0.2.19|registry+https://github.com/rust-lang/crates.io-index|071dfc062690e90b734c0b2273ce72ad0ffa95f0c74596bc250dcfd960262841|std
once_cell|1.21.4|registry+https://github.com/rust-lang/crates.io-index|9f7c3e4beb33f85d45ae3e3a1792185706c8e16d043238c593331cc7cd313b50|alloc,default,race,std
percent-encoding|2.3.2|registry+https://github.com/rust-lang/crates.io-index|9b4f627cb1b25917193a259e49bdad08f671f8d9708acfd5fe0a8c1455d87220|alloc,default,std
pin-project-lite|0.2.17|registry+https://github.com/rust-lang/crates.io-index|a89322df9ebe1c1578d689c92318e070967d1042b512afbe49518723f4e6d5cd|
proc-macro2|1.0.107|registry+https://github.com/rust-lang/crates.io-index|985e7ec9bb745e6ce6535b544d84d6cd6f7ad8bd711c398938ae983b91a766d9|default,proc-macro
quote|1.0.47|registry+https://github.com/rust-lang/crates.io-index|1fbf4db142a473a8d80c26bbf18454ed458bf8d26c8219c331daecfdbd079001|default,proc-macro
r-efi|6.0.0|registry+https://github.com/rust-lang/crates.io-index|f8dcc9c7d52a811697d2151c701e0d08956f92b0e24136cf4cf27b57a6a0d9bf|
rustix|1.1.4|registry+https://github.com/rust-lang/crates.io-index|b6fe4565b9518b83ef4f91bb47ce29620ca828bd32cb7e408f0062e9930ba190|alloc,default,std,termios
rustversion|1.0.23|registry+https://github.com/rust-lang/crates.io-index|cf54715a573b99ac80df0bc206da022bcd442c974952c7b9720069370852e21f|
ryu|1.0.23|registry+https://github.com/rust-lang/crates.io-index|9774ba4a74de5f7b1c1451ed6cd5285a32eddb5cccb8cc655a4e50009e06477f|
serde|1.0.229|registry+https://github.com/rust-lang/crates.io-index|4148590afebada386688f18773da617792bf2ef03ffc1e4cbd2b1d45b023e0ba|default,derive,serde_derive,std
serde_core|1.0.229|registry+https://github.com/rust-lang/crates.io-index|67dca2c9c51e58a4791a4b1ed58308b39c64224d349a935ab5039aa360942a48|alloc,default,result,std
serde_derive|1.0.229|registry+https://github.com/rust-lang/crates.io-index|e7a5d71263a5a7d47b41f6b3f06ba276f10cc18b0931f1799f710578e2309348|default
serde_json|1.0.151|registry+https://github.com/rust-lang/crates.io-index|c841b55ecdae098c80dcae9cf767f6f8a0c2cdb3416bbef72181df4d0fe73f14|arbitrary_precision,default,raw_value,std
serde_path_to_error|0.1.20|registry+https://github.com/rust-lang/crates.io-index|10a9ff822e371bb5403e391ecd83e182e0e77ba7f6fe0160b795797109d1b457|
serde_spanned|1.1.1|registry+https://github.com/rust-lang/crates.io-index|6662b5879511e06e8999a8a235d848113e942c9124f211511b16466ee2995f26|alloc,serde,std
serde_urlencoded|0.7.1|registry+https://github.com/rust-lang/crates.io-index|d3491c14715ca2294c4d6a88f15e84739788c1d030eed8c110436aafdaa2f3fd|
sha2|0.10.9|registry+https://github.com/rust-lang/crates.io-index|a7507d819769d01a365ab707794a4084392c824f54a7a6a7862f8c3d0892b283|default,std
shlex|2.0.1|registry+https://github.com/rust-lang/crates.io-index|f8fadd59c855ef2080decdef8ff161eb6661b86933c9d82e5ba29dc602a55aba|default,std
slab|0.4.12|registry+https://github.com/rust-lang/crates.io-index|0c790de23124f9ab44544d7ac05d60440adc586479ce501c1d6d7da3cd8c9cf5|std
syn|2.0.119|registry+https://github.com/rust-lang/crates.io-index|872831b642d1a07999a962a351ed35b955ea2cfc8f3862091e2a240a84f17297|clone-impls,default,derive,full,parsing,printing,proc-macro
syn|3.0.5|registry+https://github.com/rust-lang/crates.io-index|12df2e0110f65b775f769bb17ef989067a1d931b2eb822bd4346631eeada89f9|clone-impls,default,derive,extra-traits,full,parsing,printing,proc-macro,visit,visit-mut
sync_wrapper|1.0.2|registry+https://github.com/rust-lang/crates.io-index|0bf256ce5efdfa370213c1dabab5935a12e49f2c58d15e9eac2870d3b4f27263|
terminal_size|0.4.4|registry+https://github.com/rust-lang/crates.io-index|230a1b821ccbd75b185820a1f1ff7b14d21da1e442e22c0863ea5f08771a8874|
tokio|1.53.1|registry+https://github.com/rust-lang/crates.io-index|202caea871b69668250d242070849eb495be178ed697a3e98aebce5bc81a0bed|default,macros,rt,rt-multi-thread,sync,time,tokio-macros
tokio-macros|2.7.2|registry+https://github.com/rust-lang/crates.io-index|78773a2a397f451582ce068015985c33193cf6dea8b74d2a639fe457b2f07b0e|
toml|1.1.6+spec-1.1.0|registry+https://github.com/rust-lang/crates.io-index|920602543f0911ab71da12c50d59701da54c196d1a2bf5cb4b75667f137a406a|default,display,parse,serde,std
toml_datetime|1.1.1+spec-1.1.0|registry+https://github.com/rust-lang/crates.io-index|3165f65f62e28e0115a00b2ebdd37eb6f3b641855f9d636d3cd4103767159ad7|alloc,serde,std
toml_parser|1.1.3+spec-1.1.0|registry+https://github.com/rust-lang/crates.io-index|1d38ac1cf9b95face32296c0a3ede1fdc270627c9d9c02a7274dd6d960dc4d56|alloc,std
toml_writer|1.1.2+spec-1.1.0|registry+https://github.com/rust-lang/crates.io-index|7d56353a2a665ad0f41a421187180aab746c8c325620617ad883a99a1cbe66d2|alloc,std
tower|0.5.3|registry+https://github.com/rust-lang/crates.io-index|ebe5ef63511595f1344e2d5cfa636d973292adc0eec1f0ad45fae9f0851ab1d4|futures-core,futures-util,pin-project-lite,sync_wrapper,util
tower-layer|0.3.3|registry+https://github.com/rust-lang/crates.io-index|121c2a6cda46980bb0fcd1647ffaf6cd3fc79a013de288782836f6df9c48780e|
tower-service|0.3.3|registry+https://github.com/rust-lang/crates.io-index|8df9b6e13f2d32c91b9bd719c00d1958837bc7dec474d94952798cc8e69eeec3|
typenum|1.20.1|registry+https://github.com/rust-lang/crates.io-index|b6f5e870be6c3b371b77fe0ee0bafb859fa4964b4404c27de1d380043c4dda20|
unicode-ident|1.0.24|registry+https://github.com/rust-lang/crates.io-index|e6e4313cd5fcd3dad5cafa179702e2b244f760991f45397d14d4ebf38247da75|
unicode-width|0.2.2|registry+https://github.com/rust-lang/crates.io-index|b4ac048d71ede7ee76d585517add45da530660ef4390e49b098733c6e897f254|cjk,default
uuid|1.26.1|registry+https://github.com/rust-lang/crates.io-index|2ef6dac1e96601b4fb3acccccff2139741fcb757cb9a36089bf5be91cfb285ce|default,rng,serde,std,v7
version_check|0.9.5|registry+https://github.com/rust-lang/crates.io-index|0b928f33d975fc6ad9f86c8f283853ad26bdd5b10b7f1542aa2fa15e2289105a|
wasm-bindgen|0.2.128|registry+https://github.com/rust-lang/crates.io-index|aecb87a33d3b0c5e3b7aa46336eaf486cffafbd281b195e4c8b80d50df2351bf|default,std
wasm-bindgen-macro|0.2.128|registry+https://github.com/rust-lang/crates.io-index|a690d511e3c1a8b3a55e33511e3c2c00c78415cd23650f32b808627f5696b9ed|
wasm-bindgen-macro-support|0.2.128|registry+https://github.com/rust-lang/crates.io-index|411e4887f0071ef2d2164a9d5fdf2d20efbef78fccd3a78b0c10a1dc5295e48a|
wasm-bindgen-shared|0.2.128|registry+https://github.com/rust-lang/crates.io-index|81941cd78d0c92026c33e5e01312845a4cb1e9af3407f9134b100dd03144103e|
windows-core|0.62.2|registry+https://github.com/rust-lang/crates.io-index|b8e83a14d34d0623b51dce9581199302a221863196a1dde71a7663a4c2be9deb|default,std
windows-implement|0.60.2|registry+https://github.com/rust-lang/crates.io-index|053e2e040ab57b9dc951b72c264860db7eb3b0200ba345b4e4c3b14f67855ddf|
windows-interface|0.59.3|registry+https://github.com/rust-lang/crates.io-index|3f316c4a2570ba26bbec722032c4099d8c8bc095efccdc15688708623367e358|
windows-link|0.2.1|registry+https://github.com/rust-lang/crates.io-index|f0805222e57f7521d6a62e36fa9163bc891acd422f971defe97d64e70d0a4fe5|
windows-result|0.4.1|registry+https://github.com/rust-lang/crates.io-index|7781fa89eaf60850ac3d2da7af8e5242a5ea78d1a11c49bf2910bb5a73853eb5|std
windows-strings|0.5.1|registry+https://github.com/rust-lang/crates.io-index|7837d08f69c77cf6b07689544538e017c1bfcf57e34b4c0ff58e6c2cd3b37091|std
windows-sys|0.61.2|registry+https://github.com/rust-lang/crates.io-index|ae137229bcbd6cdf0f7b80a31df61766145077ddf49416a728b02cb3921ff3fc|Win32,Win32_Foundation,Win32_Networking,Win32_Networking_WinSock,Win32_Storage,Win32_Storage_FileSystem,Win32_System,Win32_System_Console,Win32_System_Diagnostics,Win32_System_Diagnostics_Debug,Win32_System_SystemInformation,default
winnow|1.0.4|registry+https://github.com/rust-lang/crates.io-index|23b97319f7b8343df12cc98938e5c3eb436064524c8d2b4e30a1d3a36eecdf81|
zmij|1.0.23|registry+https://github.com/rust-lang/crates.io-index|29666d0abbfad1e3dc4dcf6144730dd3a3ab225bbbdac83319345b1b44ccfc1b|
